평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,L0044,ICT폴리텍대학 도서관,경기,광주시,9686,0,65,262,2700090
2022,LIBTYPE000003,248032,가야대학교 분성도서관,경남,김해시,232686,2,434,6703,115000540
2022,LIBTYPE000003,241005,가천대학교 중앙도서관,경기,성남시,1058013,9,2911,66503,1973755559
2022,LIBTYPE000003,228001,가천대학교 중앙도서관(M),인천,연수구,109656,1,836,6112,0
2022,LIBTYPE000003,242003,가톨릭관동대학교 학술정보원,강원,강릉시,754258,3,1793,16697,488409062
2022,LIBTYPE000003,243019,가톨릭꽃동네대학교 도서관,충북,청주시,65899,1,113,667,50000000
2022,LIBTYPE000003,211001,가톨릭대학교 성신교정도서관,서울,종로구,299584,4,426,11726,109997597
2022,LIBTYPE000003,241027,가톨릭대학교 성심교정도서관,경기,부천시,664214,6,3768,66161,1243278236
2022,LIBTYPE000003,211002,가톨릭대학교 성의교정도서관,서울,서초구,190019,7,1864,20247,2844384117
2022,LIBTYPE000003,247013,가톨릭상지대학교 도서관,경북,안동시,116877,2,488,5274,69226635
2022,LIBTYPE000003,211003,감리교신학대학교 도서관,서울,서대문구,236592,2,783,19075,129253546
2022,LIBTYPE000003,241001,강남대학교 도서관,경기,용인시,564118,4,479,9721,461677685
2022,LIBTYPE000003,243014,강동대학교 도서관,충북,음성군,140252,0,157,2472,66892556
2022,LIBTYPE000003,242010,강릉영동대학교 도서관,강원,강릉시,99379,1,408,2942,38800816
2022,LIBTYPE000003,242011,강릉원주대학교 도서관 원주분관,강원,원주시,174625,1,448,2929,185829190
2022,LIBTYPE000003,242001,강릉원주대학교 중앙도서관,강원,강릉시,611643,9,1553,17962,567358260
2022,LIBTYPE000003,211016,강서대학교 도서관,서울,강서구,117933,2,147,1251,106414558
2022,LIBTYPE000003,242016,강원관광대학교 도서관,강원,태백시,48301,0,516,516,4827000
2022,LIBTYPE000003,242002,강원대학교 도서관,강원,춘천시,1163123,19,4842,62710,3098348888
2022,LIBTYPE000003,242006,강원대학교 삼척도서관,강원,삼척시,428228,5,945,5047,380687448
2022,LIBTYPE000003,242020,강원도립대학교 도서관,강원,강릉시,61703,1,289,3482,41522930
2022,LIBTYPE000003,211094,개신대학원대학교 도서관,서울,강북구,25544,1,47,779,4412795
2022,LIBTYPE000003,248001,거제대학교 도서관,경남,거제시,73243,1,276,3590,34323978
2022,LIBTYPE000003,211004,건국대학교 상허기념도서관,서울,광진구,1342329,5,7440,93357,2499999899
2022,LIBTYPE000003,243001,건국대학교(글로컬) 중원도서관,충북,충주시,724666,1,1878,29946,781415335
2022,LIBTYPE000003,225022,건신대학원대학교 도서관,대전,중구,22701,1,55,770,10278530
2022,LIBTYPE000003,L0041,건양대학교 대전캠퍼스 의학도서관,대전,서구,73316,2,1530,11627,700561765
2022,LIBTYPE000003,244001,건양대학교 도서관,충남,논산시,419379,3,1148,24403,0
2022,LIBTYPE000003,241070,경기과학기술대학교 도서관,경기,시흥시,158336,1,768,6480,110123820
2022,LIBTYPE000003,211005,경기대학교 금화도서관,서울,서대문구,365364,3,409,2198,0
2022,LIBTYPE000003,241002,경기대학교 중앙도서관,경기,수원시,969639,8,1614,48142,897158628
2022,LIBTYPE000003,248002,경남대학교 중앙도서관,경남,창원시,1013967,9,3071,80984,892526096
2022,LIBTYPE000003,248024,경남도립거창대학 도서관,경남,거창군,45591,1,196,1538,31021720
2022,LIBTYPE000003,248025,경남도립남해대학 도서관,경남,남해군,36622,1,135,1315,27481340
2022,LIBTYPE000003,221001,경남정보대학교 도서관,부산,사상구,244324,1,765,8414,130299910
2022,LIBTYPE000003,242019,경동대학교 도서관,강원,고성군,386911,6,2184,15725,429479226
2022,LIBTYPE000003,241003,경민대학교 도서관,경기,의정부시,135701,2,714,13066,126101604
2022,LIBTYPE000003,241004,경복대학교 도서관,경기,남양주시,155526,3,4403,41335,144572136
2022,LIBTYPE000003,247027,경북과학대학교 도서관,경북,칠곡군,92263,1,18,76,10351760
2022,LIBTYPE000003,222001,경북대학교 도서관,대구,북구,3427573,28,15275,223419,5530222050
2022,LIBTYPE000003,247037,경북도립대학교 도서관,경북,예천군,62610,1,226,1708,61099140
2022,LIBTYPE000003,247007,경북보건대학교 도서관,경북,김천시,41850,1,286,4798,43621020
2022,LIBTYPE000003,247003,경북전문대학교 현암도서관,경북,영주시,140774,2,435,2224,48834908
2022,LIBTYPE000003,248003,경상국립대학교 도서관,경남,진주시,1614696,25,11308,100429,4087438309
2022,LIBTYPE000003,221002,경성대학교 중앙도서관,부산,남구,1037549,4,2960,52255,835009789
2022,LIBTYPE000003,L0031,경안대학원대학교 도서관,경북,안동시,8524,1,6,9,169700
2022,LIBTYPE000003,247036,경운대학교 벽강중앙도서관,경북,구미시,442478,2,1576,8067,247265061
2022,LIBTYPE000003,223005,경인교육대학교 도서관,인천,계양구,600032,6,1718,23789,376563980
